ProductID,Name,Category,Description,Price,Stock
1,Oven Mitts with Pocket,Kitchen,Silicone oven mitts designed for safe cooking and baking.,19.99,90
2,Self-Watering Planters,Garden,Planters with a self-watering feature for easy care.,49.99,178
3,Whole Wheat Pasta,Food - Grains,Nutritious and hearty pasta made from whole wheat flour.,2.49,107
4,Magnetic Screen Door,Outdoor,Keep bugs out while allowing fresh air in during summer.,24.99,62
5,Spicy Chicken Wings,Food - Meat,"Wide range of flavored wings, perfect for parties or casual snacking.",9.99,71
6,Fleece Lined Leggings,Clothing,Comfortable and warm leggings perfect for colder weather.,29.99,102
7,Wireless HDMI Transmitter,Electronics,Stream HD video wirelessly to your TV.,79.99,61
8,Maple Almond Butter,Food - Nut Butters,Creamy almond butter sweetened with maple syrup for a delicious spread.,5.49,101
9,Whole Wheat Pasta,Food - Grains,Nutritious and hearty pasta made from whole wheat flour.,2.49,134
10,Almond Milk Yogurt,Food - Dairy Alternatives,"Creamy yogurt made from almond milk, vegan-friendly.",1.99,146
11,Coconut Chia Pudding,Food - Dairy,Creamy chia pudding made with coconut milk and topped with mango.,3.49,162
12,Honey Almond Granola Bars,Food - Snacks,Chewy granola bars made with honey and almonds.,3.99,197
13,Compressed Towel Tablets,Travel,"Compact towels that expand when wet, ideal for travel.",12.99,85
14,Electric Toothbrush,Health,Rechargeable electric toothbrush with smart timer.,49.95,146
15,LED Desk Light,Home,Adjustable LED desk light with brightness settings.,34.99,116
16,Vegetable Potstickers,Food - Frozen Food,"Delicious vegetable dumplings, perfect for steaming or frying.",5.99,104
17,Multi-Function Smartphone Holder,Electronics,"Versatile holder that can be used on desks, cars, and more.",12.99,11
18,Yoga Mat,Fitness,Non-slip yoga mat for optimal grip and comfort.,25,58
19,Portable Hammock with Stand,Outdoor,Lightweight hammock with a sturdy stand for relaxation anywhere.,69.99,102
20,Spiced Pumpkin Soup,Food - Canned Soups,"A creamy pumpkin soup with a blend of warm spices, ready to heat and serve.",3.99,91
21,Spinach and Cheese Quiche,Food - Prepared Meals,Savory quiche loaded with spinach and cheese.,5.49,60
22,Noise-Canceling Headphones,Audio,High-quality headphones that block out external noise for immersive listening.,119.99,98
23,Wireless Game Controller,Gaming,Ergonomic wireless controller for gaming consoles.,39.99,111
24,Luminous Night Light,Home,Soft glow night light for children's rooms or bedside.,15.99,110
25,Bluetooth Shower Speaker,Audio,Water-resistant Bluetooth speaker for showers.,24.99,113
26,Portable Hammock Swing,Outdoor,Lightweight and portable swing hammock for relaxing outdoors.,59.99,161
27,Sliced Provolone Cheese,Food - Dairy,Mild cheese great for sandwiches.,3.99,21
28,Thai Peanut Dressing,Food - Condiments,A creamy and tangy dressing perfect for salads or as a dipping sauce.,3.29,55
29,Waterproof Rain Boots,Clothing - Footwear,Stay dry with these stylish waterproof rain boots.,69.99,81
30,Kale & Quinoa Salad Mix,Food - Salads,"A nutrient-packed salad mix with kale, quinoa, and a lemon vinaigrette, ready to eat.",4.49,77
31,Mango Chutney,Food - Condiments,Sweet and tangy mango chutney for a flavorful dip.,3.99,88
32,Beef Taco Skillet,Food - Meal Kits,A convenient meal kit for making a delicious beef taco skillet at home.,8.49,88
33,Almond Joy Protein Bars,Food - Snacks,Chocolate coconut protein bars inspired by the classic candy bar.,1.99,118
34,Electric Meat Grinder,Kitchen,Powerful grinder for making sausage and burgers at home.,89.99,83
35,Microfiber Cleaning Cloth Set,Home,Assorted cloths for cleaning electronics and delicate surfaces.,9.99,172
36,Body Wash,Beauty,Moisturizing body wash with natural ingredients.,12.99,118
37,Peanut Butter Pretzel Bites,Food - Snacks,Crunchy pretzel bites filled with peanut butter,4.19,105
38,Dark Chocolate Bars,Food - Snacks,"Rich dark chocolate bars, perfect for a sweet treat.",2.99,90
39,Gingerbread House Kit,Food - Baking,Everything you need to build a festive gingerbread house.,6.99,151
40,Self-Stirring Mug,Kitchen,Automated stirring for your drinks with just a press of a button.,19.99,121
41,Suction Cup Hooks,Home,Reusable suction cup hooks for hanging items.,9.99,148
42,Motorcycle Phone Mount,Automotive,Universal mount for smartphones on motorcycles.,14.99,61
43,Coconut Oil Spray,Food - Cooking Oils,A zero-calorie coconut oil spray for cooking and baking.,4.99,100
44,Artisan Pickles,Food - Condiments,Tangy and crunchy dill pickles.,2.49,93
45,Pepperoni Pizza Roll-Ups,Food - Frozen Foods,"Savory pizza filled with pepperoni and cheese, ready to microwave.",5.99,115
46,Bamboo Utensil Set,Kitchen,Sustainable bamboo utensils for cooking and serving.,14.99,15
47,Creamy Ranch Dressing,Food - Dressings,Classic ranch dressing for salads and dipping.,2.49,114
48,LED Disco Ball Light,Home,Fun light that creates a disco atmosphere for parties.,19.99,135
49,Buffalo Style Cauliflower Bites,Food - Frozen Vegetables,"Frozen cauliflower bites coated in spicy buffalo sauce, ready to bake and enjoy as an appetizer.",5.49,60
50,Cabbage Slaw Mix,Food - Vegetables,Fresh cabbage and carrot slaw mix for salads.,2.29,20
51,Pet Travel Carrier,Pets,Comfortable carrier for small pets during travel.,39.99,100
52,Organic Brown Rice Cakes,Food - Snacks,Light and crunchy rice cakes made from organic brown rice.,3.99,86
53,Fettuccine Alfredo Dinner Kit,Food - Prepared Meals,Easy meal kit for creamy fettuccine Alfredo.,5.49,100
54,Organic Sweet Potatoes,Food - Produce,"Fresh and organic sweet potatoes, ideal for roasting.",1.99,52
55,Banana Peanut Butter Smoothie,Food - Frozen Foods,Frozen smoothie mix with bananas and peanut butter for a quick drink.,5.49,112
56,Puzzle 3D Model Kit,Toys,3D model puzzle kit for creative builders.,22.99,150
57,Banana Nut Muffins,Food - Bakery,"Moist, fluffy muffins packed with bananas and walnuts for a delightful breakfast or snack.",4.49,143
58,Crew Neck Sweater,Clothing - Sweaters,"A comfortable crew neck sweater, great for all seasons.",39.99,51
59,Pumpkin Waffles,Food - Breakfast,Delicious waffles infused with pumpkin and spices.,4.49,173
