ProductID,Name,Category,Description,Price,Stock
1,Coconut Almond Granola,Food - Breakfast,"Crunchy granola made with oats, almonds, and coconut flakes.",4.99,50
2,Spaghetti and Meatball Dinner Kit,Food - Meal Kits,"All-in-one meal kit including pasta, meatballs, and sauce for a quick dinner.",7.99,52
3,Quality Chef Apron,Kitchen,Durable apron to keep clothes clean while cooking.,19.99,100
4,Banana Peanut Butter Smoothie,Food - Frozen Foods,Frozen smoothie mix with bananas and peanut butter for a quick drink.,5.49,18
5,Coconut Almond Granola,Food - Breakfast,"Crunchy granola made with oats, almonds, and coconut flakes.",4.99,72
6,Silicone Baking Mat Set,Kitchen,Non-stick and reusable mats for easy baking.,24.99,32
7,Electric Meat Grinder,Kitchen,Powerful grinder for making sausage and burgers at home.,89.99,31
8,Pressure Washer Accessories Kit,Home Improvement,Essential attachments for pressure washing.,39.99,97
9,Sustainable Wooden Toys,Toys,Eco-friendly toys for learning and imaginative play.,29.99,3
10,Fruit and Nut Bars,Food - Snacks,Individually packaged bars made with dried fruits and nuts.,1.99,21
11,High-Waisted Skirt,Clothing - Bottoms,"Chic high-waisted skirt, perfect for professional or casual settings.",34.99,68
12,Classic Caesar Dressing,Food - Condiments,Rich and creamy Caesar dressing for salads and wraps.,3.49,15
13,Ginger Tea,Food - Beverages,A soothing herbal tea made from ginger root.,4.99,61
14,Cereal Dispenser with Portion Control,Kitchen,Maintain freshness and dispense cereal easily.,24.99,68
15,Multi-Purpose Marine Rope,Outdoor,"Heavy-duty rope suitable for boating, camping, and general use.",19.99,60
16,Portable Air Conditioner,Home Appliances,Compact air conditioner for personal cooling.,299.99,28
17,Saffron Rice Mix,Food - Grains,Flavorful rice mix with saffron and spices.,2.99,3
18,Portable Solar Generator,Outdoor,Eco-friendly generator for outdoor adventures.,399.99,2
19,Classic Pumps,Clothing - Footwear,Elegant classic pumps that add sophistication to any outfit.,64.99,15
20,Watercolor Brush Pens,Art Supplies,Set of brush pens for colorful and creative painting.,19.99,25
21,Portable Camping Stove,Outdoor,Compact camp stove for outdoor cooking.,49.99,1
22,Water-Resistant Bluetooth Speaker,Audio,Durable speaker designed for outdoor use with water resistance.,59.99,64
23,Ergonomic Mouse Pad with Wrist Support,Office,Comfortable mouse pad designed to reduce wrist strain.,14.99,72
24,Bluetooth Tracker,Accessories,Smart tracker to locate keys or other items via app.,19.99,63
25,Kale Salad with Lemon Dressing,Food - Salads,"Fresh kale salad with a zesty lemon dressing, great as a side dish.",4.99,77
26,Memory Foam Mattress Pad,Home,Extra layer of comfort for your mattress.,69.99,33
27,Sesame Garlic Stir-Fry Sauce,Food - Sauces,A flavorful sauce for stir-frying vegetables and meats.,2.79,41
28,Garden Tool Belt,Garden,Handy belt for carrying garden tools while working.,22.99,68
29,Cauliflower Gnocchi,Food - Frozen Foods,"Soft and pillowy gnocchi made from cauliflower, perfect with sauce.",3.59,78
30,Sweet Corn,Food - Canned Goods,"Tender sweet corn kernels, ready to eat or add to dishes.",1.5,28
31,Portable Charcoal Grill,Outdoor,Compact charcoal grill perfect for tailgating.,89.99,47
32,Garlic & Herb Goat Cheese,Food - Dairy,"Creamy goat cheese infused with herbs and garlic, perfect for spreading on crackers.",5.49,83
33,Adjustable Dumbbells,Fitness,Space-saving adjustable dumbbells for strength training.,249.99,32
34,Wireless Charging Station,Electronics,Charge multiple devices with this sleek charging station.,39.99,91
35,Sweet Potato and Chickpea Bowl,Food - Frozen Food,A nourishing bowl of sweet potatoes and chickpeas with spices.,6.49,70
36,Maple Bacon Potato Chips,Food - Snacks,Savory potato chips with a hint of maple sweetness and crispy bacon flavor.,2.89,65
37,Personal Blender with Travel Lid,Kitchen,Blender designed for smoothies and shakes on the go.,34.99,43
38,Freestanding Wine Rack,Home,Stylish wine rack to store and display bottles.,79.99,40
39,Sweet Potato Mash,Food - Frozen Foods,"Creamy mashed sweet potatoes, ready to heat and serve.",3.99,84
40,Classic Chicken Noodle Soup,Food - Canned Goods,A comforting soup filled with chicken and noodles in broth.,3.49,18
41,Electric Food Steamer,Kitchen,Electric food steamer for healthy cooking.,59.99,34
42,Pork Chops,Food - Meat,"Tender and juicy pork chops, perfect on the grill.",9.49,51
43,Feta Cheese,Food - Dairy,"Tangy feta cheese, perfect for salads and sandwiches.",4.99,73
44,Almond Milk Yogurt,Food - Dairy Alternatives,"Creamy yogurt made from almond milk, vegan-friendly.",1.99,39
45,Honey Nut Cheerios,Food - Cereal,Classic cereal made with whole grains and honey.,4.29,40
46,Bamboo Utensil Holder,Kitchen,Stylish holder for organizing cooking utensils.,14.99,21
47,Sour Cream,Food - Dairy,"Tangy sour cream, perfect for dips and toppings.",3.49,73
48,Karaoke Microphone,Music,Wireless microphone for singing and performances.,39.99,75
49,Tomato Sauce,Food - Canned Goods,Rich and flavorful tomato sauce for pasta or pizza.,2.79,71
50,Ramen Noodles,Food - Pasta,Quick-cooking ramen for instant meals.,0.99,38
51,Almond Crunch Granola Bars,Food - Snacks,Nutty granola bars for healthy snacking.,3.49,87
52,Collapsible Folding Chair,Outdoor,Lightweight and portable chair for camping or events.,29.99,66
